TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
29-03-2019,24.4,33.8,28.7,81,32.5,2.6,4,90,2,E 
30-03-2019,25.1,33.8,29.3,78,0,6.2,4,310,2,C 
31-03-2019,26,34.5,28.7,78,0,5.8,4,50,2,S 
1/4/2019,26.1,33.6,29.3,80,3.7,8.7,7,140,2,SE
2/4/2019,24.8,33.2,28.1,84,44,4.3,3,340,2,S 
3/4/2019,25,33.4,28.9,79,0.5,4.6,4,120,2,NE
4/4/2019,26.2,33.6,29.3,79,0,6,4,70,2,S 
5/4/2019,26.1,33.5,29,78,0,6.2,3,330,2,S 
6/4/2019,25.8,35.6,29.1,78,0,5.3,3,300,1,C 
7/4/2019,26.1,34,29.4,78,5,6,5,340,2,E 
8/4/2019,25.8,35.2,30,78,15,6,4,340,2,N 
9/4/2019,26.2,34.3,29.4,80,2.3,8.4,4,70,2,S 
10/4/2019,26.2,32.6,28.9,82,2.5,5.8,3,160,2,S 
11/4/2019,25.4,33.2,27.9,87,51,4.3,3,60,1,NE
12/4/2019,25.8,34,29,81,0,3.5,4,140,2,SE
13-04-2019,24.7,32,28.1,86,0,4.7,3,30,1,C 
14-04-2019,26.3,33.7,27.4,86,2.5,1.2,11,220,2,N 
15-04-2019,26,33.5,28.8,84,18.3,4.5,3,350,1,S 
16-04-2019,26.5,33.7,28.9,84,0.5,2.1,5,150,2,SE
17-04-2019,26.5,34.4,29,83,0,2.6,5,90,2,E 
18-04-2019,27,35.2,30.2,80,1,6.3,6,70,2,E 
19-04-2019,27.3,34.5,30.7,74,0,9.5,8,130,3,SE
20-04-2019,27.2,34.6,30,74,-,8.8,6,160,2,E 
21-04-2019,27.2,34.5,30.4,74,0,6.2,5,130,3,SE
22-04-2019,27.8,34.9,30.9,74,0,8,6,130,3,SE
23-04-2019,27.3,35.4,30.3,75,0,6.2,7,150,3,SE
24-04-2019,26.8,35.8,30.3,75,-,8.8,7,150,2,SE
25-04-2019,27,34.5,30.5,73,0,8.4,5,120,2,E 
26-04-2019,26.9,34.5,29.9,76,3.5,6.9,3,31,2,E 
27-04-2019,26.8,34.6,29.4,80,27.3,7.2,4,140,2,E 
28-04-2019,26.8,33.4,28.4,84,0,7.9,4,80,2,E 
29-04-2019,24.1,31.7,27.2,90,63.6,3.5,4,110,2,S 
30-04-2019,25,33.3,28.5,84,47.5,1,4,160,2,E 
1/5/2019,25.4,33.4,29.1,81,2.5,4.9,3,40,2,N 
2/5/2019,26.2,34.6,29.3,81,2.5,6.2,6,140,2,S 
3/5/2019,25.5,34.8,29.8,77,0.5,5.2,4,60,2,E 
4/5/2019,26.2,34.6,29.5,75,0,8.2,3,100,1,E 
5/5/2019,26,34.5,29.6,73,0.1,8.2,5,110,2,E 
6/5/2019,27,35.6,30.4,73,0,8,4,290,2,W 
7/5/2019,27,35.6,30,75,0,7.4,4,80,2,SE
8/5/2019,27,35.8,29.7,72,0,8,5,90,2,E 
9/5/2019,26,34.6,29.7,74,0,7,8,150,3,E 
10/5/2019,26,35,29.5,73,0,7.3,6,150,2,SE
11/5/2019,26,34.7,29.4,73,0,7.5,6,160,2,SE
12/5/2019,26,35.2,29.3,74,0,8,4,140,2,E 
13-05-2019,26,34.8,29.4,72,0,6.8,6,120,2,SE
14-05-2019,26,35.2,30.3,73,0,8.1,5,90,2,E 
15-05-2019,27,35.2,30.6,72,0,8.2,6,150,3,E 
16-05-2019,27,33.8,29.8,74,0,7.8,3,60,2,E 
17-05-2019,25,34.4,28.9,71,-,5.4,4,60,2,E 
18-05-2019,25,34.5,28.9,73,0,8.5,5,90,2,E 
19-05-2019,25,35.4,29,70,0,7.6,5,100,2,SE
20-05-2019,25,35.7,29.4,71,0,8.2,5,60,2,SE
21-05-2019,26,36.1,29.7,71,0,8.4,5,130,2,SE
22-05-2019,26,35.8,29.6,72,0,8.3,6,140,2,E 
23-05-2019,26,35.8,30,71,0,8.5,6,110,2,SE
24-05-2019,26,35.5,29.7,71,0,8.3,5,130,3,SE
